132,20
20,142
142,104
104,20
20,38
38,20
20,20
20,20
20,38
38,104
104,62
62,18
18,20
20,11
11,11
11,73
104,105
105,105
105,74
74,11
11,104
104,105
105,31
31,104
73,73
73,10
10,160
160,44
44,73
73,10
10,106
106,49
31,11
11,20
20,20
20,73
73,160
160,11
11,20
20,31
20,49
49,20
20,105
105,20
20,20
20,20
20,160
160,20
11,11
11,11
11,11
11,11
11,20
20,11
11,11
11,11
73,20
20,73
73,20
20,73
73,160
160,160
160,160
160,183
205,20
20,20
20,20
20,115
115,168
168,13
13,217
217,160
73,20
20,157
157,160
160,135
135,20
20,20
20,20
20,140
73,11
11,154
154,11
11,73
73,73
73,73
73,73
73,73
20,47
47,20
20,11
11,20
20,73
73,104
104,189
189,73
11,160
160,160
160,160
160,49
49,118
118,118
118,160
160,20
20,38
38,20
20,73
73,160
160,125
125,125
125,125
125,125
20,141
141,62
62,122
122,86
86,20
20,20
20,20
20,134
38,20
20,20
20,127
127,154
154,11
11,20
20,20
20,73
20,11
11,11
11,76
76,11
11,143
143,139
139,139
139,20
19,160
160,132
132,170
170,88
88,170
170,170
170,46
46,20
73,62
62,73
73,73
73,73
73,73
73,49
49,20
20,20
11,11
11,11
11,31
31,104
104,50
50,11
11,38
38,137
93,50
50,11
11,104
104,11
11,11
11,11
11,11
11,11
160,73
73,15
15,106
106,11
11,11
11,11
11,11
11,11
160,36
36,143
143,15
15,141
141,50
50,20
20,20
20,20
11,35
35,11
11,158
158,11
11,11
11,11
11,11
11,38
11,20
20,20
20,5
5,11
11,20
20,11
11,11
11,10
73,104
104,11
11,11
11,144
144,160
160,129
129,10
10,11
20,15
15,104
104,20
20,11
11,73
73,73
73,20
20,160
11,25
25,73
73,73
73,47
47,47
47,11
11,73
73,164
34,210
210,115
115,104
104,20
20,73
73,38
38,20
20,20
20,20
20,13
13,20
20,20
20,73
73,128
128,20
20,20
11,160
160,20
20,20
20,167
167,65
65,126
126,20
20,10
128,116
116,51
51,49
49,73
73,210
210,15
15,73
73,73
160,160
160,73
73,11
11,73
73,73
73,20
20,47
47,20
45,141
141,20
20,20
20,73
73,73
73,38
38,170
170,170
20,20
20,160
160,20
20,20
20,20
20,20
20,20
20,20
11,20
20,20
20,76
76,20
20,11
11,11
11,11
11,11
160,20
20,20
20,20
20,20
20,38
38,133
133,104
104,20
38,73
73,31
31,31
31,99
99,20
20,20
20,20
20,160
20,15
15,47
47,73
73,73
73,73
73,73
73,49
49,11
20,20
20,20
20,160
